TransactionAmt,card1,isFraud,fraud_prob,network_risk_score,near_miss,risk_level
25.95,17933,0,0.09512140008521656,0.09512140008521656,0,Low
300.0,3682,0,0.25654725377945664,0.25654725377945664,0,Low
34.0,18018,0,0.06364287106484884,0.06364287106484884,0,Low
117.0,17399,0,0.08764603448978285,0.08764603448978285,0,Low
31.95,11207,0,0.10490783580383813,0.10490783580383813,0,Low
57.95,7676,0,0.11493406907326113,0.11493406907326113,0,Low
48.95,13108,0,0.0637734654719339,0.0637734654719339,0,Low
200.0,10486,0,0.3476656668829758,0.3476656668829758,1,Low
100.0,11991,0,0.1265372420198059,0.07592234521188354,0,Low
29.0,12686,0,0.10231294670607724,0.10231294670607724,0,Low
39.0,17188,0,0.11238423179335814,0.11238423179335814,0,Low
40.0,3395,0,0.1664888344446955,0.0998933006668173,0,Low
108.5,10748,0,0.1469303827373298,0.1469303827373298,0,Low
150.0,9350,0,0.18280738632515992,0.18280738632515992,0,Low
59.0,16189,0,0.060249158617580435,0.060249158617580435,0,Low
39.95,1859,0,0.10444695130976753,0.10444695130976753,0,Low
280.0,16659,0,0.23221860124157942,0.23221860124157942,0,Low
25.95,1444,0,0.06583298465257074,0.06583298465257074,0,Low
49.0,2772,0,0.10827416918877848,0.10827416918877848,0,Low
50.0,6019,0,0.13942575166960244,0.13942575166960244,0,Low
300.0,15063,0,0.4150617308302774,0.4150617308302774,0,Low
59.0,6855,0,0.1172520199747928,0.1172520199747928,0,Low
311.95,10057,0,0.20839014602505238,0.20839014602505238,0,Low
30.0,12045,0,0.13083565140943829,0.13083565140943829,0,Low
95.0,6481,0,0.13168317402340823,0.13168317402340823,0,Low
97.0,5751,0,0.1623389360768205,0.1623389360768205,0,Low
334.99,10112,1,0.18665060413435086,0.18665060413435086,0,Low
59.0,10989,0,0.0780826939586628,0.0780826939586628,0,Low
57.95,3479,0,0.07902114750357543,0.07902114750357543,0,Low
146.0,3058,0,0.22676212918883565,0.22676212918883565,0,Low
129.0,5492,0,0.11152759465671983,0.11152759465671983,0,Low
117.0,5033,0,0.17961898888377523,0.17961898888377523,0,Low
59.0,2392,0,0.10768443998373968,0.10768443998373968,0,Low
83.95,7861,0,0.16036237425400013,0.16036237425400013,0,Low
107.95,1081,0,0.12143907051765027,0.07286344231059015,0,Low
47.95,17055,0,0.0679071801592258,0.0679071801592258,0,Low
117.0,5511,0,0.15112841752192815,0.15112841752192815,0,Low
117.0,8695,0,0.12064238858385108,0.12064238858385108,0,Low
25.95,14471,0,0.11509493552854692,0.11509493552854692,0,Low
100.0,7664,0,0.16969026758623054,0.16969026758623054,0,Low
57.95,18343,0,0.09856338505267731,0.09856338505267731,0,Low
50.0,16274,0,0.07824724026050445,0.07824724026050445,0,Low
114.95,4272,0,0.12476836299896395,0.12476836299896395,0,Low
105.0,10112,0,0.06996652855976057,0.06996652855976057,0,Low
29.0,8106,0,0.13617615665955382,0.13617615665955382,0,Low
275.97,1761,0,0.25458387471793276,0.25458387471793276,0,Low
35.0,15066,0,0.16360737709296397,0.16360737709296397,0,Low
117.0,7322,0,0.13147916783598562,0.13147916783598562,0,Low
59.0,14153,0,0.09273459584816166,0.09273459584816166,0,Low
317.95,10616,0,0.248863608575253,0.248863608575253,0,Low
884.0,11207,0,0.25645271111032764,0.25645271111032764,0,Low
107.95,13887,0,0.12790869394010912,0.07674521636406546,0,Low
270.95,16560,0,0.14858502484660274,0.14858502484660274,0,Low
308.5,7483,0,0.24160261877287145,0.24160261877287145,0,Low
360.0,12695,0,0.25623773552262114,0.25623773552262114,0,Low
59.0,9175,0,0.07937661834319974,0.07937661834319974,0,Low
54.5,10616,0,0.17725130455075624,0.17725130455075624,0,Low
500.0,3682,1,0.3061711679283309,0.3061711679283309,0,Low
34.0,17598,0,0.0474899754220829,0.0474899754220829,0,Low
107.95,1103,0,0.13458350786644374,0.13458350786644374,0,Low
280.0,7978,0,0.2974640016453619,0.2974640016453619,0,Low
39.0,7826,0,0.14512343439461883,0.14512343439461883,0,Low
78.5,17399,0,0.09148487915206278,0.09148487915206278,0,Low
108.5,7919,0,0.08397820727406619,0.08397820727406619,0,Low
